portuguese,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Present
coloração,0,0,0,0,0,0,0,0,0,0,0
colorido,0,0,0,0,0,0,0,0,0,0,0
colossal,1,0,0,0,0,0,0,0,0,0,1
coluna,0,0,0,0,0,0,0,0,0,0,0
coluna vertebral,1,1,1,0,0,0,0,0,0,0,1
colunar,0,0,0,0,0,0,0,0,0,0,0
com,0,0,0,0,0,0,0,0,0,0,0
com isso,0,0,0,0,0,0,0,0,0,0,0
com licença,0,1,0,0,0,0,0,0,0,0,1
com o qual,0,0,0,0,0,0,0,0,0,0,0
com os olhos vendados,0,0,0,0,0,0,0,0,0,0,0
com rajadas,0,0,0,0,0,0,0,0,0,0,0
com saudades de casa,0,1,0,0,0,0,0,1,0,0,1
coma,0,1,0,0,0,1,0,1,0,0,1
comandando,1,0,0,0,0,0,0,0,0,1,1
comandante,1,0,0,0,0,0,0,0,0,1,1
comando,0,0,0,0,0,0,0,0,0,0,0
comatosa,0,1,0,0,0,1,0,1,0,0,1
combate,0,1,1,0,0,1,0,0,0,0,1
combatente,0,1,1,0,0,1,0,0,0,0,1
combativo,0,1,1,0,0,1,0,0,0,0,1
combinação,0,0,0,0,0,0,0,0,0,0,0
combinado,0,0,0,0,0,0,0,0,0,0,0
combinar,0,0,0,0,0,0,0,0,0,0,0
combinatório,0,0,0,0,0,0,0,0,0,0,0
comboio,0,0,0,0,0,0,0,0,0,0,0
combustão,0,0,0,0,0,0,0,0,0,0,0
combustível,0,0,0,0,0,0,0,0,0,0,0
começando,0,0,0,0,0,0,0,0,0,0,0
começar,0,0,0,1,0,0,0,0,0,0,1
começo,0,0,0,0,0,0,0,0,0,0,0
começou,0,0,0,1,0,0,0,0,0,0,1
comédia,0,0,0,0,0,0,0,0,0,0,0
comemoração,1,0,0,1,0,0,1,0,0,0,1
comemorando,1,0,0,1,0,0,1,0,0,0,1
comemorar,1,0,0,1,0,0,1,1,0,0,1
comemorativo,1,0,0,1,0,0,0,0,0,0,1
comendo,0,0,0,0,0,0,0,0,0,0,0
comentário,0,0,0,0,0,0,0,0,0,0,0
comentarista,1,0,0,0,0,0,0,0,0,0,1
comente,0,0,0,0,0,0,0,0,0,0,0
comer,1,0,0,0,0,0,0,0,0,0,1
comercial,0,0,0,0,0,0,0,0,0,0,0
comercializável,1,0,0,0,0,0,0,0,0,0,1
comerciante,0,0,0,0,0,0,0,0,0,1,1
comércio,0,0,0,0,0,0,0,0,0,1,1
comestível,0,0,0,0,0,0,0,0,0,0,0
cometa,0,0,0,0,0,0,0,0,0,0,0
cometer,0,0,0,0,0,0,0,0,0,0,0
comichão,0,0,0,0,0,0,0,0,0,0,0
comício,0,0,0,0,0,0,0,0,0,0,0
cômico,0,0,0,0,0,0,0,0,0,0,0
comida,1,0,0,0,0,0,1,0,0,1,1
comiseração,1,0,0,0,0,0,0,1,0,0,1
comissão,0,0,0,0,0,0,0,0,0,1,1
comissário,0,0,0,0,0,0,0,0,0,0,0
comitê,0,0,0,0,0,0,0,0,0,1,1
comoção,0,1,1,0,0,0,0,0,0,0,1
cômoda,0,0,0,0,0,0,0,0,0,0,0
comodoro,1,0,0,0,0,0,0,0,0,1,1
compacidade,0,0,0,0,0,0,0,0,0,0,0
compactação,0,0,0,0,0,0,0,0,0,0,0
compactar,0,0,0,0,0,0,0,0,0,1,1
compaixão,1,0,0,0,0,1,0,0,0,0,1
companheirismo,1,0,0,0,0,0,0,0,0,0,1
companheiro,1,0,0,0,0,0,1,0,0,1,1
companheiro de brincadeira,0,0,0,0,0,0,0,0,0,0,0
companhia,0,0,0,0,0,0,0,0,0,0,0
comparação,0,0,0,0,0,0,0,0,0,0,0
comparativamente,0,0,0,0,0,0,0,0,0,0,0
comparativo,0,0,0,0,0,0,0,0,0,0,0
comparável,0,0,0,0,0,0,0,0,0,0,0
comparecimento,0,0,0,1,0,0,0,0,0,0,1
compartilhar,1,0,0,1,0,0,1,0,0,1,1
compartimento,0,0,0,0,0,0,0,0,0,0,0
compassivo,1,0,0,0,0,0,0,0,0,0,1
compatibilidade,1,0,0,0,0,0,0,0,0,0,1
compatível,1,0,0,0,0,0,0,0,0,0,1
compatriota,0,0,0,0,0,0,0,0,0,1,1
compêndio,0,0,0,0,0,0,0,0,0,0,0
compensação,0,0,0,0,0,0,0,0,0,0,0
compensar,1,0,0,1,0,0,1,0,1,1,1
compensatório,1,0,0,0,0,0,0,0,0,0,1
competência,1,0,0,0,0,0,0,0,0,1,1
competente,1,0,0,0,0,0,0,0,0,1,1
competitivo,0,0,0,0,0,0,0,0,0,0,0
compilação,0,0,0,0,0,0,0,0,0,0,0
compilar,0,0,0,0,0,0,0,0,0,0,0
complacência,1,0,0,0,0,0,0,0,0,0,1
complacente,1,0,0,0,0,0,0,0,0,0,1
complementar,1,0,0,0,0,0,0,0,0,0,1
complemento,1,0,0,1,0,0,1,0,1,1,1
completado,0,0,0,0,0,0,0,0,0,0,0
completamente,1,0,0,0,0,0,0,0,0,0,1
completando,1,0,0,1,0,0,1,0,0,0,1
completude,1,0,0,0,0,0,0,0,0,0,1
complexidade,0,1,0,0,0,0,0,0,0,0,1
complexion,0,0,0,0,0,0,0,0,0,0,0
complexo,0,1,0,0,0,0,0,0,0,0,1
complicação,0,1,0,0,0,0,0,0,0,0,1
complicado,0,1,0,0,0,0,0,0,0,0,1
complicar,0,1,1,0,0,0,0,0,0,0,1
compo,0,0,0,0,0,0,0,0,0,0,0
componente,0,0,0,0,0,0,0,0,0,0,0
compor,0,0,0,0,0,0,0,0,0,0,0
comportamento,0,0,0,0,0,0,0,0,0,0,0
composição,0,0,0,0,0,0,0,0,0,0,0
compositor,1,0,0,0,0,0,0,0,0,0,1
composto,1,0,0,0,0,0,0,0,0,0,1
compostura,1,0,0,0,0,0,0,0,0,0,1
compra,0,0,0,0,0,0,0,0,0,0,0
comprador,0,0,0,0,0,0,0,0,0,0,0
comprando,0,0,0,0,0,0,0,0,0,0,0
comprar,0,0,0,0,0,0,0,0,0,0,0
compras,1,0,0,1,0,0,1,0,1,1,1
compreender,1,0,0,0,0,0,0,0,0,0,1
compreensão,1,0,0,0,0,0,0,0,0,1,1
compreensivo,1,0,0,0,0,0,0,0,0,0,1
compressão,0,0,0,0,0,0,0,0,0,0,0
compressível,0,0,0,0,0,0,0,0,0,0,0
comprimento,0,0,0,0,0,0,0,0,0,0,0
comprimido,1,0,0,0,0,0,0,0,0,1,1
comprimir,0,0,1,0,0,0,0,0,0,0,1
comprometer,0,1,1,0,0,1,0,0,0,0,1
comprometido,1,0,0,0,0,0,0,0,0,1,1
compromisso,0,1,0,0,0,0,0,1,0,0,1
compromissos,0,0,0,0,0,0,0,0,0,0,0
comprovante,0,0,0,0,0,0,0,0,0,1,1
comprovar,0,0,0,0,0,0,0,0,0,1,1
compulsão,0,1,1,0,0,0,0,0,0,0,1
computação,0,0,0,0,0,0,0,0,0,0,0
computador,0,0,0,0,0,0,0,0,0,0,0
computável,0,0,0,0,0,0,0,0,0,0,0
comum,0,0,0,1,0,0,0,0,0,1,1
comumente,0,0,0,0,0,0,0,0,0,0,0
comuna,0,0,0,0,0,0,0,0,0,0,0
comunhão,1,0,0,0,0,0,1,0,0,1,1
comunicação,0,0,0,0,0,0,0,0,0,1,1
comunicar,1,0,0,0,0,0,0,0,0,1,1
comunicativo,1,0,0,0,0,0,0,0,0,0,1
comunidade,1,0,0,0,0,0,0,0,0,1,1
comunista,0,1,0,0,0,0,0,0,0,0,1
comutação,1,0,0,0,0,0,0,0,0,0,1
comutar,1,0,0,0,0,0,0,0,0,0,1
comutativo,0,0,0,0,0,0,0,0,0,0,0
concatenação,0,0,0,0,0,0,0,0,0,0,0
côncavo,0,0,0,0,0,0,0,0,0,0,0
concebível,0,0,0,0,0,0,0,0,0,0,0
concedente,0,0,0,0,0,0,0,0,0,0,0
conceder,1,0,0,1,0,0,1,0,0,1,1
concedido,1,0,0,0,0,0,0,0,0,0,1
concentração,0,0,0,0,0,0,0,0,0,0,0
concentrado,0,0,0,0,0,0,0,0,0,0,0
concêntrico,1,0,0,0,0,0,0,0,0,0,1
concepção,0,0,0,0,0,0,0,0,0,0,0
concessão,0,0,0,0,0,0,0,0,0,0,0
concessional,0,0,0,0,0,0,0,0,0,0,0
concha,0,1,1,0,0,1,0,1,1,0,1
conciliação,1,0,0,0,0,0,1,0,0,1,1
conciliar,0,0,0,0,0,0,0,0,0,0,0
conciso,0,0,0,0,0,0,0,0,0,0,0
conclave,0,0,0,0,0,0,0,0,0,0,0
concluindo,1,0,0,0,0,0,0,0,0,0,1
concluir,0,0,0,0,0,0,0,0,0,0,0
conclusão,1,0,0,1,0,0,1,0,0,0,1
concomitante,0,0,0,0,0,0,0,0,0,0,0
concordância,1,0,0,0,0,0,0,0,0,1,1
concordando,1,0,0,0,0,0,0,0,0,1,1
concórdia,1,0,0,0,0,0,0,0,0,1,1
concorrência,0,1,0,1,0,0,0,0,0,0,1
concorrente,0,0,0,0,0,0,0,0,0,0,0
concourse,0,0,0,0,0,0,0,0,0,0,0
concreto,0,0,0,0,0,0,0,0,0,0,0
concurso,1,0,0,0,0,0,1,0,0,1,1
concussão,0,1,1,0,0,0,0,1,0,0,1
condado,0,0,0,0,0,0,0,0,0,0,0
conde,1,0,0,0,0,0,0,0,0,0,1
condenação,0,1,1,1,1,1,0,1,0,0,1
condenado,0,1,0,0,0,0,0,0,0,0,1
condenar,0,1,1,0,1,1,0,1,0,0,1
condensação,0,0,0,0,0,0,0,0,0,0,0
condensado,0,0,0,0,0,0,0,0,0,0,0
condescendência,0,1,1,0,1,0,0,1,0,0,1
condescendente,0,1,0,0,0,0,0,0,0,0,1
condessa,1,0,0,0,0,0,0,0,0,0,1
condição,0,0,0,0,0,0,0,0,0,0,0
condicionado,0,0,0,0,0,0,0,0,0,0,0
condicional,0,0,0,0,0,0,0,0,0,0,0
condicionalmente,0,0,0,0,0,0,0,0,0,0,0
condições,0,0,0,0,0,0,0,0,0,0,0
condimento,0,0,0,0,0,0,0,0,0,0,0
condução,0,0,0,0,0,0,0,0,0,0,0
conduta,0,0,0,0,0,0,0,0,0,0,0
condutividade,1,0,0,0,0,0,0,0,0,0,1
condutor,0,0,0,0,0,0,0,0,0,0,0
conduz,0,0,0,0,0,0,0,0,0,0,0
conduzindo,0,0,0,0,0,0,0,0,0,1,1
conduzir,1,0,0,0,0,0,0,0,0,0,1
cone,0,0,0,0,0,0,0,0,0,0,0
conectado,0,0,0,0,0,0,0,0,0,0,0
conectar,0,0,0,0,0,0,0,0,0,0,0
conectivo,0,0,0,0,0,0,0,0,0,1,1
conexão,0,0,0,0,0,0,0,0,0,0,0
confederação,0,0,0,0,0,0,0,0,0,0,0
confederado,1,0,0,0,0,0,0,0,0,1,1
conferência,0,0,0,0,0,0,0,0,0,0,0
conferencista,1,0,0,0,0,0,0,0,0,0,1
conferir,0,0,0,0,0,0,0,0,0,0,0
confessar,1,1,0,0,0,0,0,0,0,1,1
confessional,0,0,0,0,0,1,0,0,0,1,1
confiabilidade,1,0,0,0,0,0,0,0,0,1,1
confiança,1,0,0,0,0,1,1,0,0,1,1
confiante,1,0,0,0,0,0,1,0,0,1,1
confiar,0,0,0,0,0,0,0,0,0,1,1
confiar em,0,0,0,0,0,0,0,0,0,1,1
confiável,1,0,0,0,0,0,0,0,0,1,1
confidencial,0,0,0,0,0,0,0,0,0,1,1
confidencialmente,0,0,0,0,0,0,0,0,0,1,1
configuração,0,0,0,0,0,0,0,0,0,0,0
confinado,0,1,1,0,1,1,0,1,0,0,1
confinamento,0,1,1,0,0,1,0,1,0,0,1
confins,0,0,0,0,0,0,0,0,0,0,0
confirmação,0,0,0,0,0,0,0,0,0,1,1
confirmado,1,0,0,0,0,0,0,0,0,1,1
confirmativo,0,0,0,0,0,0,0,0,0,0,0
confirme,0,0,0,0,0,0,0,0,0,0,0
confiscar,0,1,1,0,0,0,0,1,0,0,1
confisco,0,1,0,0,0,1,0,1,0,0,1
confissão,0,1,0,1,0,1,0,1,1,0,1
confissões,0,0,0,0,0,0,0,0,0,0,0
conflagração,0,1,1,0,0,1,0,0,0,0,1
conflitante,0,1,0,0,0,0,0,0,0,0,1
conflito,0,1,1,0,0,1,0,1,0,0,1
confluência,0,0,0,0,0,0,0,0,0,0,0
conformidade,1,0,0,0,0,0,0,0,0,1,1
confortando,1,0,0,0,0,0,1,0,0,1,1
confortar,1,0,0,1,0,0,1,0,1,1,1
conforto,1,0,0,1,0,0,1,0,0,1,1
confundido,0,1,0,0,0,1,0,0,0,0,1
confundir,0,1,0,0,0,0,0,0,0,0,1
confusão,0,1,1,0,0,1,0,0,0,0,1
confuso,0,1,0,0,0,0,0,0,0,0,1
congeladas,0,0,0,0,0,0,0,0,0,0,0
congelador,0,0,0,0,0,0,0,0,0,0,0
congelamento,0,1,0,0,0,0,0,0,0,0,1
congelando,0,1,0,0,0,0,0,0,0,0,1
congelar,0,0,0,0,0,0,0,0,0,0,0
congênita,0,0,0,0,0,0,0,0,0,0,0
congestionamento,0,1,0,0,0,0,0,0,0,0,1
conglomeração,0,0,0,0,0,0,0,0,0,0,0
conglomerado,0,0,0,0,0,0,0,0,0,1,1
congratulatório,1,0,0,0,0,0,1,0,0,0,1
congregação,1,0,0,0,0,0,0,0,0,1,1
congregar,0,0,0,0,0,0,0,0,0,0,0
congressista,0,0,0,0,0,0,0,0,0,1,1
congresso,0,0,0,0,1,0,0,0,0,1,1
congruência,1,0,0,0,0,0,0,0,0,1,1
conhaque,0,1,0,0,0,0,0,0,0,0,1
conheça,0,0,0,0,0,0,0,0,0,0,0
conhecedor,1,0,0,0,0,0,1,0,0,1,1
conhecer,1,0,0,0,0,0,0,0,0,0,1
conhecido,0,0,0,0,0,0,0,0,0,0,0
conhecimento,1,0,0,0,0,0,0,0,0,0,1
cônico,0,0,0,0,0,0,0,0,0,0,0
conjetura,0,0,0,1,0,0,0,0,0,0,1
conjugação,0,0,0,0,0,0,0,0,0,0,0
conjugado,0,0,0,0,0,0,0,0,0,0,0
conjugal,0,0,0,0,0,0,0,0,0,0,0
cônjuge,1,0,0,0,0,0,1,0,0,1,1
conjunção,0,0,0,0,0,0,0,0,0,0,0
conjuntivo,0,0,0,0,0,0,0,0,0,0,0
conjunto,1,0,0,0,0,0,0,0,0,1,1
conjuntura,0,0,0,0,0,0,0,0,0,0,0
conjuração,0,1,0,0,0,0,0,0,0,0,1
conjurar,0,0,0,1,0,0,0,0,1,0,1
conluio,0,1,1,0,1,1,0,1,0,0,1
conquista,0,1,1,0,0,1,0,0,0,0,1
conquistador,0,0,0,0,0,0,0,0,0,0,0
conquistar,0,0,0,0,0,0,0,0,0,0,0
consagração,1,0,0,1,0,0,1,1,0,1,1
consciência,1,0,0,0,0,0,0,0,0,1,1
conscienciosa,1,0,0,0,0,0,0,0,0,1,1
consciente,0,0,0,0,0,0,0,0,0,0,0
conscientemente,0,0,0,0,0,0,0,0,0,0,0
consecutivo,0,0,0,0,0,0,0,0,0,0,0
conselheiro,1,0,0,0,0,0,0,0,0,1,1
conselho,1,0,0,1,0,0,0,0,0,1,1
consentimento,0,0,0,0,0,0,0,0,0,0,0
consentindo,0,0,0,0,0,0,0,0,0,0,0
consequência,0,0,0,0,0,0,0,0,0,0,0
consequente,0,0,0,1,0,0,0,0,0,0,1
consertar,0,0,0,0,0,0,0,0,0,0,0
conservação,1,0,0,1,0,0,0,0,0,1,1
conservador,0,0,0,0,0,0,0,0,0,0,0
conservadorismo,0,0,0,0,0,0,0,0,0,0,0
conservante,1,0,0,1,0,0,1,0,1,1,1
conservar,1,0,0,0,0,0,0,0,0,0,1
conservas,0,0,0,0,0,0,0,0,0,0,0
conservatório,0,0,0,0,0,0,0,0,0,0,0
consideração,1,0,0,0,0,0,0,0,0,0,1
considerando,0,0,0,0,0,0,0,0,0,0,0
considerável,1,0,0,0,0,0,0,0,0,0,1
consignação,0,0,0,0,0,0,0,0,0,0,0
consignatário,0,0,0,0,0,0,0,0,0,0,0
consistência,1,0,0,0,0,0,0,0,0,1,1
consistente,0,0,0,0,0,0,0,0,0,0,0
consoante,1,0,0,0,0,0,0,0,0,0,1
consolação,0,0,0,0,0,0,0,0,0,0,0
console,1,0,0,0,0,0,0,1,0,0,1
consolidação,0,0,0,0,0,0,0,0,0,0,0
consolidar,0,0,0,0,0,0,0,0,0,0,0
consolo,1,0,0,0,0,0,0,0,0,0,1
consorte,0,0,0,0,0,0,0,0,0,1,1
conspícuo,0,0,0,0,0,0,0,0,0,0,0
conspiração,0,0,0,0,0,1,0,0,0,0,1
conspirador,0,1,1,1,1,1,0,0,0,0,1
conspirar,0,1,0,0,0,1,0,0,0,0,1
constância,1,0,0,0,0,0,0,0,0,1,1
constante,1,0,0,0,0,0,0,0,0,1,1
constantemente,0,0,0,0,0,0,0,0,0,1,1
constelação,0,0,0,0,0,0,0,0,0,0,0
consternação,0,1,1,0,0,1,0,0,0,0,1
constitucional,1,0,0,0,0,0,0,0,0,1,1
constitucionalidade,0,0,0,0,0,0,0,0,0,0,0
constituição,0,0,0,0,0,0,0,0,0,0,0
constituinte,0,0,0,0,0,0,0,0,0,0,0
constituintes,0,0,0,0,0,0,0,0,0,0,0
constituir,0,0,0,0,0,0,0,0,0,1,1
constrangido,0,1,0,0,0,0,0,0,0,0,1
constrangimento,0,1,0,0,1,0,0,0,0,0,1
construção,1,0,0,0,0,0,0,0,0,0,1
construir,1,0,0,0,0,0,0,0,0,0,1
construtor,0,0,0,0,0,0,0,0,0,0,0
cônsul,0,0,0,0,0,0,0,0,0,1,1
consulta,0,0,0,0,0,0,0,0,0,0,0
consultar,0,0,0,0,0,0,0,0,0,1,1
consumação,0,0,0,0,0,0,0,0,0,0,0
consumar,1,0,0,0,0,0,0,0,0,0,1
consumindo,0,0,0,0,0,0,0,0,0,0,0
consumir,0,0,0,0,0,0,0,0,0,0,0
consumo,0,0,0,0,0,0,0,0,0,0,0
conta,0,0,0,0,0,0,0,0,0,1,1
contabilidade,0,0,0,0,0,0,0,0,0,0,0
contador,0,0,0,0,0,0,0,0,0,1,1
contagem,1,0,0,0,0,0,0,0,0,1,1
contagem regressiva,0,0,0,1,0,0,0,0,0,0,1
contagens,0,0,0,0,0,0,0,0,0,0,0
contágio,0,1,0,1,1,1,0,0,0,0,1
contagioso,0,1,0,0,1,1,0,0,0,0,1
contaminação,0,1,0,0,1,0,0,0,0,0,1
contaminado,0,1,0,0,1,1,0,1,0,0,1
contaminar,0,1,0,0,1,0,0,0,0,0,1
contas,0,0,0,0,0,0,0,0,0,1,1
contato,1,0,0,0,0,0,0,0,0,0,1
contemplação,1,0,0,0,0,0,0,0,0,0,1
contemplar,0,0,0,0,0,0,0,0,0,0,0
contemplativo,0,0,0,0,0,0,0,0,0,0,0
contemporâneo,0,0,0,0,0,0,0,0,0,0,0
contenção,0,0,0,0,0,0,0,0,0,0,0
contenciosa,0,1,1,0,1,1,0,0,0,0,1
contenda,0,1,1,0,0,0,0,0,0,0,1
contendendo,0,0,0,0,0,0,0,0,0,0,0
contente,1,0,0,0,0,0,1,0,1,0,1
conteúdo,1,0,0,0,0,0,1,0,0,1,1
contexto,0,0,0,0,0,0,0,0,0,0,0
contíguo,0,0,0,0,0,0,0,0,0,0,0
continência,0,0,0,0,0,0,0,0,0,0,0
continental,0,0,0,0,0,0,0,0,0,0,0
continente,0,0,0,0,0,0,0,0,0,0,0
contingência,0,0,0,0,0,0,0,0,0,0,0
contingente,0,0,0,1,0,0,0,0,0,0,1
continuação,0,0,0,1,0,0,0,0,0,0,1
continuamente,0,0,0,0,0,0,0,0,0,0,0
continuando,0,0,0,0,0,0,0,0,0,0,0
continuar,1,0,0,1,0,0,0,0,0,1,1
continuidade,0,0,0,0,0,0,0,0,0,0,0
contínuo,0,0,0,0,0,0,0,0,0,0,0
conto,1,0,0,0,0,0,0,0,0,0,1
contorcer,0,1,0,0,1,0,0,1,0,0,1
contorno,1,0,0,0,0,0,0,0,0,0,1
contornos,0,0,0,0,0,0,0,0,0,0,0
contrabalançar,0,0,0,0,0,0,0,0,0,0,0
contrabandear,0,1,0,0,0,1,0,0,0,0,1
contrabandista,0,1,1,0,1,1,0,0,0,0,1
contrabando,0,1,1,0,1,1,0,0,0,0,1
contração,0,0,0,0,0,0,0,0,0,0,0
contração muscular,0,1,0,0,0,0,0,0,0,0,1
contradição,0,1,0,0,0,0,0,0,0,0,1
contraditório,0,1,1,0,0,0,0,0,0,0,1
contrafacção,0,0,0,0,0,0,0,0,0,0,0
contraforte,0,0,0,0,0,0,0,0,0,0,0
contrapartida,0,0,0,0,0,0,0,0,0,0,0
contrariar,0,0,0,0,0,0,0,0,0,0,0
contrariedade,0,1,1,0,1,0,0,0,0,0,1
contrário,0,1,0,0,0,0,0,0,0,0,1
contraste,0,0,0,0,0,0,0,0,0,0,0
contrastou,0,1,0,0,0,0,0,0,0,0,1
contratado,0,1,0,0,0,0,0,0,0,0,1
contratando,0,0,0,0,0,0,0,0,0,0,0
contratar,1,0,0,1,0,0,1,0,0,1,1
contratempo,0,1,0,0,1,1,0,1,1,0,1
contrátil,0,0,0,0,0,0,0,0,0,0,0
contrato,0,0,0,0,0,0,0,0,0,0,0
contravenção,0,1,0,0,0,0,0,0,0,0,1
contribuinte,1,0,0,0,0,0,0,0,0,1,1
contribuir,1,0,0,0,0,0,0,0,0,0,1
controlo remoto,0,0,0,0,0,0,0,0,0,0,0
controvérsia,0,1,0,0,0,0,0,0,0,0,1
controverso,0,1,1,0,0,0,0,0,0,0,1
convalescente,0,0,0,0,0,0,0,0,0,0,0
convecção,0,0,0,0,0,0,0,0,0,0,0
convenção,1,0,0,0,0,0,0,0,0,0,1
convencer,1,0,0,1,0,0,0,0,0,1,1
convencido,0,0,0,0,0,0,0,0,0,1,1
convencional,0,0,0,0,0,0,0,0,0,0,0
conveniência,1,0,0,0,0,0,0,0,0,0,1
conveniências,0,0,0,0,0,0,0,0,0,0,0
conveniente,1,0,0,0,0,0,0,0,0,0,1
convênio,1,0,0,0,0,0,0,0,0,1,1
convento,1,0,0,0,0,0,0,0,0,1,1
convergem,0,0,0,0,0,0,0,0,0,0,0
convergência,0,0,0,1,0,0,0,0,0,0,1
convergente,0,0,0,0,0,0,0,0,0,0,0
conversa,1,0,0,0,0,0,0,0,0,0,1
conversação,0,0,0,0,0,0,0,0,0,0,0
conversacional,1,0,0,0,0,0,0,0,0,0,1
conversando,0,1,0,0,0,0,0,0,0,0,1
conversão,0,0,0,0,0,0,0,0,0,0,0
conversar,0,0,0,0,0,0,0,0,0,0,0
conversível,0,0,0,0,0,0,0,0,0,0,0
converter,1,0,0,0,0,0,0,0,0,0,1
convertido,0,0,0,0,0,0,0,0,0,0,0
convexidade,0,0,0,0,0,0,0,0,0,0,0
convexo,0,0,0,0,0,0,0,0,0,0,0
convicção,0,1,0,0,0,0,0,0,0,0,1
convicto,1,0,0,0,0,0,0,0,0,0,1
convidado,0,0,0,0,0,0,0,0,0,0,0
convidar,1,0,0,1,0,0,1,0,1,1,1
convidativo,1,0,0,1,0,0,1,0,1,1,1
convincente,1,0,0,0,0,0,0,0,0,1,1
convite,1,0,0,1,0,0,0,0,0,0,1
convivendo,0,0,0,0,0,0,0,0,0,1,1
convocação,0,1,0,0,0,0,0,0,0,0,1
convocar,0,0,0,0,0,0,0,0,0,0,0
convolução,0,0,0,0,0,0,0,0,0,0,0
coo,0,0,0,0,0,0,0,0,0,0,0
cooperação,1,0,0,0,0,0,0,0,0,1,1
cooperando,1,0,0,0,0,0,0,0,0,1,1
cooperativa,0,1,1,0,1,0,0,0,0,0,1
cooperativo,1,0,0,0,0,0,0,0,0,1,1
coordenada,0,0,0,0,0,0,0,0,0,0,0
coorte,0,0,0,0,0,0,0,0,0,0,0
cópia,0,1,0,0,0,0,0,0,0,0,1
copiando,0,0,0,0,0,0,0,0,0,0,0
copo,0,0,0,0,0,0,0,0,0,0,0
coquetel,0,0,0,0,0,0,0,0,0,0,0
cor,0,0,0,0,0,0,0,0,0,0,0
coração,0,0,0,0,0,0,0,0,0,0,0
corações,0,0,0,0,0,0,0,0,0,0,0
corado,0,0,0,0,0,0,0,0,0,0,0
coragem,1,0,0,0,0,0,0,0,0,0,1
corajoso,1,0,0,0,0,1,0,0,0,0,1
coral,1,0,0,0,0,0,1,0,0,0,1
corante,0,0,0,0,0,0,0,0,0,0,0
corar,0,1,0,0,0,0,0,0,0,0,1
corça,0,0,0,0,0,0,0,0,0,0,0
corcunda,0,0,0,0,0,0,0,0,0,0,0
corda,0,0,0,0,0,0,0,0,0,0,0
cordão,0,0,0,0,0,0,0,0,0,0,0
cordeiro,1,0,0,0,0,0,1,0,0,1,1
cordial,1,0,0,0,0,0,1,1,0,1,1
cordialmente,1,0,0,0,0,0,1,0,0,0,1
cores,0,0,0,0,0,0,0,0,0,0,0
coriáceo,0,0,0,0,0,0,0,0,0,0,0
córnea,0,0,0,0,0,0,0,0,0,0,0
corneta,0,0,0,0,0,0,0,0,0,0,0
cornetim,0,0,0,1,0,0,0,0,0,0,1
cornija,0,0,0,0,0,0,0,0,0,0,0
corno,0,1,0,0,1,0,0,0,0,0,1
coro,1,0,0,0,0,0,1,0,0,1,1
coroa,0,0,0,0,0,0,0,0,0,0,0
coroação,1,0,0,0,0,0,1,0,0,1,1
coroando,1,0,0,1,0,0,1,0,1,1,1
corolário,0,0,0,0,0,0,0,0,0,0,0
corona,0,0,0,0,0,0,0,0,0,0,0
coronel,1,0,0,0,0,0,0,0,0,1,1
corpete,0,0,0,0,0,0,0,0,0,0,0
corpo,0,0,0,0,0,0,0,0,0,0,0
corpo a corpo,0,1,0,0,0,1,0,0,0,0,1
corporação,1,0,0,0,0,0,0,0,0,1,1
corporal,0,1,0,0,0,0,0,0,0,0,1
corporativo,0,0,0,0,0,0,0,0,0,0,0
corpóreo,1,0,0,0,0,0,0,0,0,0,1
corpulento,0,0,0,0,0,0,0,0,0,0,0
corpus,0,0,0,0,0,0,0,0,0,0,0
correção,0,1,0,0,0,0,0,0,0,0,1
corredeiras,0,0,0,0,0,0,0,0,0,0,0
corredor,0,0,0,0,0,0,0,0,0,0,0
correia,0,0,0,0,0,0,0,0,0,0,0
correio,0,0,0,0,0,0,0,0,0,1,1
correlação,0,0,0,0,0,0,0,0,0,0,0
correlativo,0,0,0,0,0,0,0,0,0,0,0
correndo,1,0,0,0,0,0,0,0,0,0,1
corrente,0,1,0,0,0,0,0,0,0,0,1
corrente subjacente,0,0,0,0,0,0,0,0,0,0,0
correspondência,1,0,0,1,0,0,0,0,0,0,1
correspondente,0,0,0,0,0,0,0,0,0,0,0
corresponder,0,0,0,0,0,0,0,0,0,0,0
corretagem,0,0,0,0,0,0,0,0,0,0,0
corretamente,1,0,0,0,0,0,0,0,0,0,1
corretivo,1,0,0,0,0,0,0,0,0,0,1
corretor,0,0,0,0,0,0,0,0,0,0,0
corretor de ações,0,0,0,0,0,0,0,0,0,0,0
corrida,0,0,0,0,0,0,0,0,0,0,0
corrigir,1,0,0,0,0,0,0,0,0,0,1
corroboração,0,0,0,0,0,0,0,0,0,1,1
corroborar,1,0,0,0,0,0,0,0,0,1,1
corroer,0,1,1,0,1,0,0,0,0,0,1
corrompendo,0,1,1,0,1,1,0,1,0,0,1
corromper,0,0,0,0,0,0,0,0,0,0,0
corrosão,0,1,0,0,0,0,0,0,0,0,1
corrosivo,0,1,0,0,0,1,0,0,0,0,1
corrupção,0,1,0,0,1,0,0,0,0,0,1
corrupto,0,1,0,0,0,0,0,0,0,0,1
cortador,0,1,0,0,0,1,0,0,0,0,1
cortadores,1,0,0,0,0,0,0,0,0,0,1
cortando,0,0,0,0,0,0,0,0,0,0,0
